773.85292,5.31553,59.85817,0.35245,1.16107,3.26846,0.32436,0.24922,0.12576,0.27059
720.85292,0.31553,110.85817,0.35245,0.16107,10.26846,0.32436,0.24922,0.12576,0.27059
777.85292,1.31553,26.85817,0.35245,0.16107,22.26846,0.32436,1.24922,0.12576,13.27059
785.85292,2.31553,1.85817,1.35245,0.16107,51.26846,0.32436,0.24922,0.12576,0.27059
784.85292,4.31553,0.85817,2.35245,0.16107,50.26846,0.32436,0.24922,0.12576,0.27059
767.85292,10.31553,2.85817,3.35245,0.16107,57.26846,1.32436,0.24922,0.12576,0.27059
723.85292,9.31553,77.85817,28.35245,0.16107,3.26846,0.32436,0.24922,0.12576,0.27059
603.85292,38.31553,89.85817,42.35245,4.16107,22.26846,31.32436,6.24922,0.12576,5.27059
380.85292,53.31553,124.85817,107.35245,0.16107,3.26846,83.32436,41.24922,10.12576,39.27059
72.85292,91.31553,306.85817,111.35245,7.16107,4.26846,109.32436,25.24922,3.12576,112.27059
160.85292,106.31553,215.85817,47.35245,4.16107,6.26846,90.32436,11.24922,3.12576,198.27059
116.85292,73.31553,189.85817,37.35245,10.16107,10.26846,7.32436,17.24922,2.12576,379.27059
20.85292,19.31553,164.85817,88.35245,3.16107,0.26846,27.32436,43.24922,0.12576,476.27059
29.85292,7.31553,218.85817,87.35245,0.16107,3.26846,77.32436,15.24922,2.12576,402.27059
15.85292,16.31553,298.85817,20.35245,2.16107,3.26846,106.32436,1.24922,4.12576,375.27059
20.85292,3.31553,298.85817,50.35245,11.16107,6.26846,70.32436,67.24922,2.12576,313.27059
10.85292,4.31553,272.85817,92.35245,2.16107,8.26846,87.32436,97.24922,8.12576,260.27059
19.85292,7.31553,289.85817,118.35245,10.16107,7.26846,95.32436,92.24922,4.12576,199.27059
36.85292,4.31553,456.85817,56.35245,10.16107,3.26846,143.32436,21.24922,1.12576,110.27059
21.85292,6.31553,542.85817,69.35245,11.16107,2.26846,116.32436,55.24922,6.12576,12.27059
28.85292,7.31553,598.85817,22.35245,5.16107,5.26846,119.32436,51.24922,0.12576,5.27059
13.85292,7.31553,674.85817,12.35245,3.16107,2.26846,108.32436,20.24922,1.12576,0.27059
74.85292,23.31553,574.85817,10.35245,2.16107,1.26846,134.32436,18.24922,3.12576,1.27059
312.85292,37.31553,391.85817,13.35245,2.16107,1.26846,60.32436,24.24922,0.12576,0.27059
